timestamps,TP9,AF7,AF8,TP10
1660571259.467,-1000.000,-1000.000,-340.820,-871.094
1660571259.471,-776.367,-767.578,-242.676,-931.152
1660571259.475,536.133,580.078,-303.711,-905.273
1660571259.479,-869.141,-836.914,-463.867,-715.332
1660571259.483,599.609,516.602,-145.508,-713.379
1660571259.487,-792.969,-792.480,-31.250,-798.340
1660571259.491,-973.633,-1000.000,11.230,-821.777
1660571259.494,336.426,-150.391,283.691,-620.117
1660571259.498,-908.691,-906.250,202.637,-364.258
1660571259.502,767.090,784.180,154.297,-375.977
1660571259.506,-565.918,-637.207,456.055,-474.609
1660571259.510,-1000.000,-1000.000,492.676,-430.664
1660571259.467,-1000.000,-1000.000,-340.820,-871.094
1660571259.471,-776.367,-767.578,-242.676,-931.152
1660571259.475,536.133,580.078,-303.711,-905.273
1660571259.479,-869.141,-836.914,-463.867,-715.332
1660571259.483,599.609,516.602,-145.508,-713.379
1660571259.487,-792.969,-792.480,-31.250,-798.340
1660571259.491,-973.633,-1000.000,11.230,-821.777
1660571259.494,336.426,-150.391,283.691,-620.117
1660571259.498,-908.691,-906.250,202.637,-364.258
1660571259.502,767.090,784.180,154.297,-375.977
1660571259.506,-565.918,-637.207,456.055,-474.609
1660571259.510,-1000.000,-1000.000,492.676,-430.664
1660571259.513,255.859,232.422,358.887,-271.484
1660571259.517,-924.316,-856.445,306.152,-138.184
1660571259.521,905.762,731.934,307.617,-95.215
1660571259.525,-263.184,-550.293,389.648,-266.113
1660571259.529,-1000.000,-1000.000,434.570,-400.391
1660571259.533,-73.242,-113.770,288.086,-402.344
1660571259.537,-955.566,996.582,180.664,-394.531
1660571259.540,953.125,-957.520,204.590,-317.383
1660571259.544,-138.184,25.879,97.168,-618.164
1660571259.548,-1000.000,-1000.000,153.809,-967.773
1660571259.552,-359.863,-462.402,82.520,-965.820
1660571259.556,965.820,876.953,-211.914,-914.551
1660571259.513,255.859,232.422,358.887,-271.484
1660571259.517,-924.316,-856.445,306.152,-138.184
1660571259.521,905.762,731.934,307.617,-95.215
1660571259.525,-263.184,-550.293,389.648,-266.113
1660571259.529,-1000.000,-1000.000,434.570,-400.391
1660571259.533,-73.242,-113.770,288.086,-402.344
1660571259.537,-955.566,996.582,180.664,-394.531
1660571259.540,953.125,-957.520,204.590,-317.383
1660571259.544,-138.184,25.879,97.168,-618.164
1660571259.548,-1000.000,-1000.000,153.809,-967.773
1660571259.552,-359.863,-462.402,82.520,-965.820
1660571259.556,965.820,876.953,-211.914,-914.551
1660571259.513,255.859,232.422,358.887,-271.484
1660571259.517,-924.316,-856.445,306.152,-138.184
1660571259.521,905.762,731.934,307.617,-95.215
1660571259.525,-263.184,-550.293,389.648,-266.113
1660571259.529,-1000.000,-1000.000,434.570,-400.391
1660571259.533,-73.242,-113.770,288.086,-402.344
1660571259.537,-955.566,996.582,180.664,-394.531
1660571259.540,953.125,-957.520,204.590,-317.383
1660571259.544,-138.184,25.879,97.168,-618.164
1660571259.548,-1000.000,-1000.000,153.809,-967.773
1660571259.552,-359.863,-462.402,82.520,-965.820
1660571259.556,965.820,876.953,-211.914,-914.551
1660571259.557,962.891,-891.602,-360.840,-944.824
1660571259.561,-199.219,75.684,-455.078,-1000.000
1660571259.565,-1000.000,-1000.000,-381.348,-989.258
1660571259.569,-481.445,-457.031,-176.758,-1000.000
1660571259.573,814.453,872.070,-100.098,-884.766
1660571259.577,-890.625,-881.348,-33.203,-691.895
1660571259.581,87.402,207.520,178.223,-721.191
1660571259.584,-1000.000,-1000.000,268.066,-790.039
1660571259.588,-507.324,-602.051,312.012,-833.008
1660571259.592,803.223,777.832,392.090,-726.074
1660571259.596,-873.535,-857.910,314.941,-562.500
1660571259.600,153.809,180.176,252.930,-470.703
1660571259.557,962.891,-891.602,-360.840,-944.824
1660571259.561,-199.219,75.684,-455.078,-1000.000
1660571259.565,-1000.000,-1000.000,-381.348,-989.258
1660571259.569,-481.445,-457.031,-176.758,-1000.000
1660571259.573,814.453,872.070,-100.098,-884.766
1660571259.577,-890.625,-881.348,-33.203,-691.895
1660571259.581,87.402,207.520,178.223,-721.191
1660571259.584,-1000.000,-1000.000,268.066,-790.039
1660571259.588,-507.324,-602.051,312.012,-833.008
1660571259.592,803.223,777.832,392.090,-726.074
1660571259.596,-873.535,-857.910,314.941,-562.500
1660571259.600,153.809,180.176,252.930,-470.703
1660571259.557,962.891,-891.602,-360.840,-944.824
1660571259.561,-199.219,75.684,-455.078,-1000.000
1660571259.565,-1000.000,-1000.000,-381.348,-989.258
1660571259.569,-481.445,-457.031,-176.758,-1000.000
1660571259.573,814.453,872.070,-100.098,-884.766
1660571259.577,-890.625,-881.348,-33.203,-691.895
1660571259.581,87.402,207.520,178.223,-721.191
1660571259.584,-1000.000,-1000.000,268.066,-790.039
1660571259.588,-507.324,-602.051,312.012,-833.008
1660571259.592,803.223,777.832,392.090,-726.074
1660571259.596,-873.535,-857.910,314.941,-562.500
1660571259.600,153.809,180.176,252.930,-470.703
1660571259.602,-1000.000,-1000.000,363.770,-523.926
